phone_price,phone_name,phone_parameter_url,phone_brand,phone_info,phone_size,phone_x,phone_y
5309,三星galaxy note 9（8gb ram/全网通） ,http://detail.zol.com.cn/1228/1227640/param.shtml,三星手机,"2960x1440像素, 6.4英寸, 4000mAh, 8GB, 800万像素, 双1200万像素, 高通 骁龙845, ",6.4,1440,2960
1377,htc desire 19s（3gb/32gb/全网通） ,http://detail.zol.com.cn/1301/1300360/param.shtml,HTC手机,"720x1440像素, 6.2英寸, 3850mAh, 3GB, 1600万像素, 1300万像素常规镜头+500万像素广角镜头+500万像素景深镜头, 联发科 Helio P22, ",6.2,1440,720
949,小米5s（高配版/全网通） ,http://detail.zol.com.cn/1157/1156140/param.shtml,小米手机,"1920x1080像素, 5.15英寸, 3200mAh, 4GB, 400万像素, 1200万像素, 高通 骁龙821（MSM8996 Pro）, ",5.15,1080,1920
1399,三星galaxy a60（6gb/64gb/全网通） ,http://detail.zol.com.cn/1265/1264005/param.shtml,三星手机,"2340x1080像素, 6.3英寸, 3500mAh, 6GB, 3200万像素+800万像素超广角摄像头+500万像素虚化摄像头, 高通 骁龙675, ",6.3,1080,2340
4399,小米9 pro（12gb/512gb/全网通/5g版） ,http://detail.zol.com.cn/1295/1294436/param.shtml,小米手机,"2340x1080像素, 6.39英寸, 4000mAh, 12GB, 2000万像素, 4800万像素主镜头+1200万像素人像镜头+1600万像素超广角加微距镜头, 高通 骁龙855 Plus, ",6.39,1080,2340
1799,华为nova 5i pro（6gb/128gb/全网通） ,http://detail.zol.com.cn/1286/1285496/param.shtml,华为手机,"2340x1080像素, 6.26英寸, 4000mAh, 6GB, 3200万像素, 4800万像素+800万像素广角镜头+200万像素微距镜头+200万像素景深镜头, 海思 麒麟 810, ",6.26,1080,2340
4999,华为mate30（8gb/128gb/全网通/5g版/素皮版） ,http://detail.zol.com.cn/1294/1293878/param.shtml,华为手机,"2340x1080像素, 6.62英寸, 4200mAh, 8GB, 2400万像素, 4000万像素主摄镜头+1600万像素超广角镜头+800万像素长焦镜头, 海思 麒麟 990 5G, ",6.62,1080,2340
759,锤子科技坚果3（全网通） ,http://detail.zol.com.cn/1210/1209757/param.shtml,锤子科技手机,"2160x1080像素, 5.99英寸, 4000mAh, 4GB, 800万像素, 双1300万像素, 高通 骁龙625（MSM8953）, ",5.99,1080,2160
8188,苹果iphone xs max（国际版/双4g） ,http://detail.zol.com.cn/1245/1244586/param.shtml,苹果手机,"2688x1242像素, 6.5英寸, 3174mAh, 4GB, 700万像素, 双1200万像素广角及长焦镜头, 苹果 A12, ",6.5,1242,2688
1899,努比亚红魔mars电竞手机（6gb ram/全网通） ,http://detail.zol.com.cn/1237/1236114/param.shtml,努比亚手机,"2160x1080像素, 6英寸, 3800mAh, 6GB, 800万像素, 1600万像素, 高通 骁龙845, ",6.0,1080,2160
1598,vivo s1（4gb/128gb/全网通） ,http://detail.zol.com.cn/1299/1298320/param.shtml,vivo手机,"2340x1080像素, 6.53英寸, 3940mAh, 4GB, 2480万像素, 双核1200万像素（2400万感光单元）+800万像素广角镜头+500万像素, 联发科 Helio P70, ",6.53,1080,2340
4199,oppo reno3 pro（8gb/128gb/全网通/5g版/pantone经典蓝定制版）  ,http://detail.zol.com.cn/1307/1306802/param.shtml,OPPO手机,"2400x1080像素, 6.5英寸, 4025mAh, 8GB, 3200万像素, 4800万像素主摄镜头+1300万像素长焦镜头+800万像素超广角镜头+200万像素黑白镜头, 高通 骁龙765G, ",6.5,1080,2400
1599,三星galaxy a8s（6gb ram/全网通） ,http://detail.zol.com.cn/1242/1241622/param.shtml,三星手机,"2340x1080像素, 6.4英寸, 3400mAh, 6GB, 2400万像素, 2400万像素+500万像素+1000万像素, 高通 骁龙710, ",6.4,1080,2340
1298,vivo y75（3gb ram/全网通） ,http://detail.zol.com.cn/1186/1185212/param.shtml,vivo手机,"1440x720像素, 5.7英寸, 3000mAh, 3GB, 1600万像素, 1300万像素, 联发科 MT6763, ",5.7,720,1440
3698,vivo nex（6gb ram/全网通） ,http://detail.zol.com.cn/1216/1215577/param.shtml,vivo手机,"2316x1080像素, 6.59英寸, 4000mAh, 6GB, 800万像素, 2x1200万像素（2400万感光单元）+500万像素, 高通 骁龙710, ",6.59,1080,2316
1713,荣耀v10（6gb ram/全网通） ,http://detail.zol.com.cn/1205/1204227/param.shtml,荣耀手机,"2160x1080像素, 5.99英寸, 3750mAh, 6GB, 1300万像素, 2000万像素+1600万像素, 海思 麒麟 970, ",5.99,1080,2160
1648,vivo z5（6gb/256gb/全网通/火影联名礼盒版）  ,http://detail.zol.com.cn/1291/1290919/param.shtml,vivo手机,"2340x1080像素, 6.38英寸, 4500mAh, 6GB, 3200万像素, 4800万像素+800万像素+200万像素, 高通 骁龙712, ",6.38,1080,2340
1228,联想z5 pro（6gb ram/全网通） ,http://detail.zol.com.cn/1230/1229492/param.shtml,联想手机,"2340x1080像素, 6.39英寸, 3350mAh, 6GB, 1600万像素+800万像素, 2400万像素+1600万像素, 高通 骁龙710, ",6.39,1080,2340
4539,lg g7 thinq（全网通） ,http://detail.zol.com.cn/1205/1204173/param.shtml,LG手机,"3120x1440像素, 6.1英寸, 3000mAh, 6GB, 800万像素, 双1600万像素, 高通 骁龙845, ",6.1,1440,3120
1299,魅族pro 7（标准版/全网通） ,http://detail.zol.com.cn/1155/1154768/param.shtml,魅族手机,"1920x1080像素, 5.2英寸, 3000mAh, 4GB, 1600万像素, 双1200万像素, 联发科 Helio P25, ",5.2,1080,1920
0,moto razr（全网通） ,http://detail.zol.com.cn/1290/1289481/param.shtml,Moto手机,"2142x876像素, 6.2英寸, 2510mAh, 6GB, 500万像素, 1600万像素, 高通 骁龙710, ",6.2,876,2142
1012,小米play（全网通） ,http://detail.zol.com.cn/1247/1246506/param.shtml,小米手机,"2280x1080像素, 5.84英寸, 2900mAh, 4GB, 800万像素, 1200万像素+200万像素, 联发科 Helio P35, ",5.84,1080,2280
2299,魅族16t（8gb/128gb/全网通） ,http://detail.zol.com.cn/1298/1297709/param.shtml,魅族手机,"2232x1080像素, 6.5英寸, 4500mAh, 8GB, 1600万像素, 1200万像素+800万像素广角镜头+500万像素人像镜头, 高通 骁龙855, ",6.5,1080,2232
1258,华为nova 2s（4gb ram/全网通） ,http://detail.zol.com.cn/1205/1204363/param.shtml,华为手机,"2160x1080像素, 6英寸, 3340mAh, 4GB, 2000万像素+200万像素, 2000万像素+1600万像素, 海思 麒麟 960, ",6.0,1080,2160
2599,oppo r17 pro（6gb ram/全网通） ,http://detail.zol.com.cn/1226/1225826/param.shtml,OPPO手机,"2340x1080像素, 6.4英寸, 3700mAh, 6GB, 2500万像素, 2000万像素+1200万像素+TOF 3D 立体摄像头, 高通 骁龙710, ",6.4,1080,2340
4099,华为mate 20 x（6gb ram/全网通） ,http://detail.zol.com.cn/1234/1233492/param.shtml,华为手机,"2244x1080像素, 7.2英寸, 5000mAh, 6GB, 2400万像素, 4000万像素+2000万像素+800万像素, 海思 麒麟 980, ",7.2,1080,2244
2182,redmi k20 pro（6gb/64gb/全网通） ,http://detail.zol.com.cn/1276/1275362/param.shtml,红米手机,"2340x1080像素, 6.39英寸, 4000mAh, 6GB, 2000万像素, 4800万像素广角镜头+1300万像素超广角镜头+800万像素长焦镜头, 高通 骁龙855, ",6.39,1080,2340
2598,vivo z6（8gb/128gb/全网通/5g版） ,http://detail.zol.com.cn/1314/1313053/param.shtml,vivo手机,"2400x1080像素, 6.57英寸, 5000mAh, 8GB, 1600万像素, 4800万像素主摄像头+800万像素广角摄像头+200万像素超微距镜头+200万像素独立人像景深镜头, 高通 骁龙765G, ",6.57,1080,2400
1998,vivo y9s（8gb/128gb/全网通） ,http://detail.zol.com.cn/1304/1303133/param.shtml,vivo手机,"2340x1080像素, 6.38英寸, 4500mAh, 8GB, 3200万像素, 4800万像素主摄镜头+800万像素广角镜头+200万像素微距镜头+200万像素景深镜头, 高通 骁龙665, ",6.38,1080,2340
1299,荣耀9x（6gb/64gb/全网通） ,http://detail.zol.com.cn/1285/1284832/param.shtml,荣耀手机,"2340x1080像素, 6.59英寸, 4000mAh, 6GB, 1600万像素, 4800万像素+200万像素, 海思 麒麟 810, ",6.59,1080,2340
2942,三星galaxy s8（g9500/双卡版/全网通） ,http://detail.zol.com.cn/1143/1142397/param.shtml,三星手机,"2960x1440像素, 5.8英寸, 3000mAh, 4GB, 800万像素, 1200万像素, 高通 骁龙835（MSM8998）, ",5.8,1440,2960
3488,华为p10（vtr-al00/全网通） ,http://detail.zol.com.cn/1161/1160028/param.shtml,华为手机,"1920x1080像素, 5.1英寸, 3200mAh, 4GB, 800万像素, 2000万像素+1200万像素, 海思 麒麟 960, ",5.1,1080,1920
9999,苹果iphone 11 pro（4gb/256gb/全网通） ,http://detail.zol.com.cn/1293/1292158/param.shtml,苹果手机,"2436x1125像素, 5.8英寸, 3190mAh, 4GB, 1200万像素, 1200万广角摄像头+1200万超广角摄像头+1200万长焦摄像头, 苹果 A13, ",5.8,1125,2436
2988,vivo s5（8gb/256gb/全网通） ,http://detail.zol.com.cn/1305/1304279/param.shtml,vivo手机,"2400x1080像素, 6.44英寸, 4100mAh, 8GB, 3200万像素, 4800万像素主摄像头+800万像素广角摄像头+200万像素微距摄像头+500万像素景深摄像头, 高通 骁龙712, ",6.44,1080,2400
5099,华为mate 20 pro（8gb ram/全网通） ,http://detail.zol.com.cn/1235/1234759/param.shtml,华为手机,"3120x1440像素, 6.39英寸, 4200mAh, 8GB, 2400万像素, 4000万像素+2000万像素+800万像素, 海思 麒麟 980, ",6.39,1440,3120
999,华为畅享9（3gb ram/全网通） ,http://detail.zol.com.cn/1234/1233874/param.shtml,华为手机,"1520x720像素, 6.26英寸, 4000mAh, 3GB, 800万像素, 1300万像素+200万像素, 高通 骁龙450, ",6.26,720,1520
